geoid,state,population,gop_votes,dem_votes,margin_pct,nocollege_pct,college_pct,grad_pct
28039,Mississippi,18111,9858,1138,0.7930156420516552,0.795538622936337,0.12058969686930594,0.04395118988460052
28041,Mississippi,11031,4776,835,0.7023703439672073,0.8584897108149759,0.06690236605928747,0.04442027014776539
28043,Mississippi,16175,5651,4060,0.1638348264854289,0.741081916537867,0.13656877897990727,0.08642967542503864
28045,Mississippi,37048,16684,4262,0.5930487921321493,0.7370708270351976,0.12648456057007126,0.09911466206003024
28047,Mississippi,159530,48497,26555,0.292357298939402,0.7240957813577383,0.1528427255061744,0.08330094653043314
28049,Mississippi,169818,22816,62840,-0.46726440646306155,0.6777608969602751,0.16580103404821633,0.1147110435878411
28051,Mississippi,12400,1243,5420,-0.6268947921356747,0.8333064516129032,0.08685483870967742,0.035483870967741936
28053,Mississippi,5636,990,2443,-0.42324497524031457,0.7840667139815471,0.09137686302342087,0.08321504613200852
28055,Mississippi,1023,296,287,0.015437392795883362,0.9217986314760508,0.03812316715542522,0.008797653958944282
28057,Mississippi,18839,9523,1027,0.8053080568720379,0.8259992568607676,0.07792345665905834,0.05260364138223897
28059,Mississippi,111178,36376,15469,0.40325971646253256,0.7279317850653906,0.159123207828887,0.07454712263217543
28061,Mississippi,12508,4118,3722,0.050510204081632655,0.8417812599936041,0.08346658138791174,0.03909497921330349
28063,Mississippi,5617,541,2727,-0.6689106487148103,0.775502937511127,0.11020117500445077,0.06515933772476411
28065,Mississippi,8961,2302,3041,-0.13831180984465655,0.8309340475393371,0.07309452070081464,0.05044079901796675
28067,Mississippi,49954,20265,7272,0.4718378908377819,0.777315129919526,0.11622692877447252,0.06714177042879449
28069,Mississippi,7245,1691,2381,-0.1694499017681729,0.7715665976535542,0.12104899930986887,0.062663906142167
28071,Mississippi,46485,14050,8956,0.2214204990002608,0.5994191674733785,0.19483704420780898,0.1499623534473486
28073,Mississippi,49089,20775,7038,0.49390572753748246,0.6558292081729105,0.1929760231416407,0.1166452769459553
28075,Mississippi,55036,16487,10677,0.21388602562214695,0.7642633912348281,0.12695326695254017,0.07342466749036994
28077,Mississippi,8856,4113,1899,0.36826347305389223,0.8559168925022583,0.07136404697380307,0.041214995483288164
28079,Mississippi,16307,5143,3182,0.23555555555555555,0.7884344146685472,0.09977310357515178,0.059728950757343476
28081,Mississippi,62267,24339,10616,0.3925904734658847,0.7069555302166477,0.16838774953024876,0.09436780317021858
28083,Mississippi,19840,2854,6476,-0.3882100750267953,0.784929435483871,0.09032258064516129,0.09057459677419355
28085,Mississippi,26750,11432,4262,0.4568624952211036,0.788822429906542,0.11323364485981309,0.056037383177570094
28087,Mississippi,44339,13087,11096,0.082330562792044,0.7135478923746589,0.16324229233857326,0.08141816459550283
28089,Mississippi,83284,32333,22700,0.17504043028728217,0.513375918543778,0.27180490850583544,0.18214783151625763
28091,Mississippi,18624,7874,3215,0.4201460907205339,0.850354381443299,0.07350730240549828,0.04349226804123711
28093,Mississippi,26842,7977,6888,0.07325933400605449,0.8155875121078906,0.08494150957454735,0.04805901199612547
28095,Mississippi,26253,10861,5090,0.36179549871481415,0.8147640269683465,0.10295966175294252,0.05058469508246677
28097,Mississippi,7518,2658,1737,0.20955631399317406,0.7817238627294493,0.0965682362330407,0.08778930566640064
